0.028,0.612
0.452,0.048
0.953,0.460
0.457,0.019
0.748,0.054
0.237,0.063
0.419,0.037
0.033,0.545
0.000,0.948
0.334,0.074
0.007,0.754
0.826,0.063
0.042,0.451
0.421,0.096
0.277,0.090
0.664,0.057
0.544,0.074
0.669,0.071
0.556,0.048
0.477,0.061
0.077,0.253
0.955,0.535
0.212,0.067
0.397,0.055
0.836,0.155
0.354,0.069
0.958,0.533
0.863,0.152
0.873,0.166
0.104,0.225
0.908,0.257
0.788,0.087
0.329,0.060
0.902,0.219
0.494,0.086
0.922,0.310
0.619,0.079
0.090,0.251
0.344,0.055
0.770,0.077
0.314,0.104
0.521,0.055
0.945,0.442
0.730,0.088
0.503,0.049
0.683,0.044
0.533,0.049
0.047,0.405
0.309,0.036
0.165,0.097
0.035,0.513
0.257,0.093
0.304,0.037
0.015,0.714
0.487,0.055
0.008,0.784
0.868,0.124
0.613,0.121
0.416,0.066
0.220,0.078
0.367,0.108
0.471,0.066
0.187,0.093
0.511,0.123
0.215,0.050
0.381,0.055
0.940,0.425
0.661,0.065
0.643,0.024
0.701,0.087
0.394,0.102
0.372,0.018
0.479,0.083
0.548,0.032
0.414,0.090
0.337,0.102
0.831,0.119
0.668,0.076
0.646,0.039
0.933,0.372
0.040,0.491
0.798,0.116
0.738,0.079
0.611,0.111
0.327,0.081
0.513,0.101
0.184,0.092
0.881,0.213
0.960,0.537
0.523,0.088
0.800,0.084
0.055,0.370
0.918,0.320
0.135,0.115
0.496,0.104
0.935,0.374
0.948,0.454
0.087,0.230
0.018,0.670
0.441,0.056
0.649,0.077
0.638,0.080
0.928,0.317
0.232,0.042
0.446,0.081
0.063,0.311
0.050,0.406
0.030,0.577
0.725,0.104
0.614,0.120
0.252,0.047
0.242,0.056
0.070,0.317
0.950,0.411
0.444,0.059
0.149,0.166
0.508,0.073
0.429,0.117
0.157,0.099
0.230,0.073
0.775,0.079
0.486,0.047
0.509,0.068
0.983,0.811
0.848,0.163
0.058,0.419
0.114,0.144
0.995,0.934
0.688,0.065
0.913,0.354
0.636,0.041
0.952,0.477
0.491,0.087
0.023,0.619
0.576,0.078
0.593,0.079
0.972,0.656
0.484,0.059
